"id","name","unit_name","nutrient_nbr","rank"
"1299","SFA 15:0","G","652","10600.0"
"1300","SFA 17:0","G","653","10800.0"
"1301","SFA 24:0","G","654","11300.0"
"1302","Wax Esters(Total Wax)","G","661","999999.0"
"1303","TFA 16:1 t","G","662","15520.0"
"1304","TFA 18:1 t","G","663","15521.0"
"1305","TFA 22:1 t","G","664","15550.0"
"1306","TFA 18:2 t not further defined","G","665","15610.0"
"1307","PUFA 18:2 i","G","666","13350.0"
"1308","PUFA 18:2 t,c","G","667","13500.0"
"1309","PUFA 18:2 c,t","G","668","13400.0"
"1310","TFA 18:2 t,t","G","669","15615.0"
"1311","PUFA 18:2 CLAs","G","670","13300.0"
"1312","MUFA 24:1 c","G","671","12800.0"
"1313","PUFA 20:2 n-6 c,c","G","672","14300.0"
"1314","MUFA 16:1 c","G","673","11800.0"
"1315","MUFA 18:1 c","G","674","12200.0"
"1316","PUFA 18:2 n-6 c,c","G","675","13200.0"
"1317","MUFA 22:1 c","G","676","12600.0"
"1318","Fatty acids, saturated, other","G","677","999999.0"
"1319","Fatty acids, monounsat., other","G","678","999999.0"
"1320","Fatty acids, polyunsat., other","G","679","999999.0"
"1321","PUFA 18:3 n-6 c,c,c","G","685","14100.0"
"1322","SFA 19:0","G","686","11000.0"
"1323","MUFA 17:1","G","687","12000.0"
"1324","PUFA 16:2","G","688","13000.0"
"1325","PUFA 20:3","G","689","14400.0"
"1326","Fatty acids, total sat., NLEA","G","690","999999.0"
"1327","Fatty acids, total monounsat., NLEA","G","691","999999.0"
"1328","Fatty acids, total polyunsat., NLEA","G","692","999999.0"
"1329","Fatty acids, total trans-monoenoic","G","693","15500.0"
"1330","Fatty acids, total trans-dienoic","G","694","15601.0"
"1331","Fatty acids, total trans-polyenoic","G","695","15619.0"
"1332","SFA 13:0","G","696","10400.0"
"1333","MUFA 15:1","G","697","11600.0"
"1334","PUFA 22:2","G","698","15100.0"
"1335","SFA 11:0","G","699","10200.0"
"1336","ORAC, Hydrophyllic","UMOL_TE","706",""
"1337","ORAC, Lipophillic","UMOL_TE","707",""
"1338","ORAC, Total","UMOL_TE","708",""
"1339","Total Phenolics","MG_GAE","709",""
"1340","Daidzein","MG","710","19100.0"
"1341","Genistein","MG","711","19200.0"
"1342","Glycitein","MG","712","19300.0"
"1343","Isoflavones","MG","713","19000.0"
"1344","Biochanin A","MG","714","999999.0"
"1345","Formononetin","MG","715","999999.0"
"1346","Coumestrol","MG","716","999999.0"
"1347","Flavonoids, total","MG","729","999999.0"
"1348","Anthocyanidins","MG","730","19400.0"
"1349","Cyanidin","MG","731","19500.0"
"1350","Proanthocyanidin (dimer-A linkage)","MG","732","19510.0"
"1351","Proanthocyanidin monomers","MG","733","19520.0"
"1352","Proanthocyanidin dimers","MG","734","19530.0"
"1353","Proanthocyanidin trimers","MG","735","19540.0"
"1354","Proanthocyanidin 4-6mers","MG","736","19550.0"
"1355","Proanthocyanidin 7-10mers","MG","737","19560.0"
"1356","Proanthocyanidin polymers (>10mers)","MG","738","19570.0"
"1357","Delphinidin","MG","741","19600.0"
"1358","Malvidin","MG","742","19700.0"
"1359","Pelargonidin","MG","743","19800.0"
"1360","Peonidin","MG","745","19900.0"
"1361","Petunidin","MG","746","20000.0"
"1362","Flavans, total","MG","747","20100.0"
"1363","Catechins, total","MG","748","20200.0"
"1364","Catechin","MG","749","20300.0"
"1365","Epigallocatechin","MG","750","20400.0"
"1366","Epicatechin","MG","751","20500.0"
"1367","Epicatechin-3-gallate","MG","752","20600.0"
"1368","Epigallocatechin-3-gallate","MG","753","20700.0"
"1369","Procyanidins, total","MG","754","20800.0"
"1370","Theaflavins","MG","755","20900.0"
"1371","Thearubigins","MG","756","21000.0"
"1372","Flavanones, total","MG","757","21200.0"
"1373","Eriodictyol","MG","758","21300.0"
"1374","Hesperetin","MG","759","21400.0"
"1375","Isosakuranetin","MG","760","21500.0"
"1376","Liquiritigenin","MG","761","21600.0"
"1377","Naringenin","MG","762","21700.0"
"1378","Flavones, total","MG","768","21800.0"
"1379","Apigenin","MG","770","21900.0"
"1380","Chrysoeriol","MG","771","22000.0"
"1381","Diosmetin","MG","772","22100.0"
"1382","Luteolin","MG","773","22200.0"
"1383","Nobiletin","MG","781","22300.0"
"1384","Sinensetin","MG","782","22400.0"
"1385","Tangeretin","MG","783","22500.0"
"1386","Flavonols, total","MG","784","22600.0"
"1387","Isorhamnetin","MG","785","22700.0"
"1388","Kaempferol","MG","786","22800.0"
"1389","Limocitrin","MG","787","22900.0"
"1390","Myricetin","MG","788","23000.0"
"1391","Quercetin","MG","789","23100.0"
"1392","Theogallin","MG","790","21100.0"
"1393","Theaflavin -3,3' -digallate","MG","791",""
"1394","Theaflavin -3' -gallate","MG","792",""
"1395","Theaflavin -3 -gallate","MG","793",""
"1396","(+) -Gallo catechin","MG","794",""
"1397","(+)-Catechin 3-gallate","MG","795",""
"1398","(+)-Gallocatechin 3-gallate","MG","796",""
"1399","Mannose","G","801","999999.0"
"1400","Triose","G","803","999999.0"
"1401","Tetrose","G","804","999999.0"
"1402","Other Saccharides","G","805","999999.0"
"1403","Inulin","G","806","999999.0"
"1404","PUFA 18:3 n-3 c,c,c (ALA)","G","851","14000.0"
"1405","PUFA 20:3 n-3","G","852","14500.0"
"1406","PUFA 20:3 n-6","G","853","14600.0"
"1407","PUFA 20:4 n-3","G","854","14800.0"
"1408","PUFA 20:4 n-6","G","855","14900.0"
"1409","PUFA 18:3i","G","856","14200.0"
"1410","PUFA 21:5","G","857","15100.0"
"1411","PUFA 22:4","G","858","15160.0"
"1412","MUFA 18:1-11 t (18:1t n-7)","G","859","12310.0"
"1413","MUFA 18:1-11 c (18:1c n-7)","G","860","12210.0"
"1414","PUFA 20:3 n-9","G","861","14650.0"
"2000","Sugars, total including NLEA","G","269","1510.0"
"2003","SFA 5:0","G","632","9850.0"
"2004","SFA 7:0","G","633","9950.0"
"2005","SFA 9:0","G","634","10050.0"
"2006","SFA 21:0","G","681","11150.0"
"2007","SFA 23:0","G","682","11250.0"
"2008","MUFA 12:1","G","635","11450.0"
"2009","MUFA 14:1 c","G","822","11501.0"
"2010","MUFA 17:1 c","G","825","12001.0"
"2011","TFA 17:1 t","G","826","15525.0"
"2012","MUFA 20:1 c","G","829","12401.0"
"2013","TFA 20:1 t","G","830","15540.0"
"2014","MUFA 22:1 n-9","G","676.1","12601.0"
"2015","MUFA 22:1 n-11","G","676.2","12602.0"
"2016","PUFA 18:2 c","G","831","13150.0"
"2017","TFA 18:2 t","G","832","15611.0"
"2018","PUFA 18:3 c","G","833","13910.0"
"2019","TFA 18:3 t","G","834","15660.0"
"2020","PUFA 20:3 c","G","835","14450.0"
"2021","PUFA 22:3","G","683","14675.0"
"2022","PUFA 20:4c","G","836","14750.0"
"2023","PUFA 20:5c","G","837","14950.0"
"2024","PUFA 22:5 c","G","838","15150.0"
"2025","PUFA 22:6 c","G","839","15250.0"
"2026","PUFA 20:2 c","G","840","14250.0"
"2027","Proximate","G","200","999999.0"
"2028","trans-beta-Carotene","UG","321.2","7444.0"
"2029","trans-Lycopene","UG","337.2","7534.0"
"2032","Cryptoxanthin, alpha","UG","335","7461.0"
"2033","Total dietary fiber (AOAC 2011.25)","G","293","1300.0"
"2034","Insoluble dietary fiber (IDF)","G","293.1","1310.0"
"2035","Soluble dietary fiber (SDFP+SDFS)","G","293.2","1320.0"
"2036","Soluble dietary fiber (SDFP)","G","954","1324.0"
"2037","Soluble dietary fiber (SDFS)","G","953","1326.0"
"2038","High Molecular Weight Dietary Fiber (HMWDF)","G","293.3","1305"
"2039","Carbohydrates","G","956","1100.0"
"2040","Other carotenoids","UG","955","7510.0"
"2041","Tocopherols and tocotrienols","MG","323.99","7900.0"
"2042","Amino acids","G","500","16250.0"
"2043","Minerals","MG","300","5200.0"
"2044","Lipids","G","950","9600.0"
"2045","Proximates","G","951","50.0"
"2046","Vitamins and Other Components","G","952","6250.0"
"2055","Total Tocopherols","MG","","7901.0"
"2054","Total Tocotrienols","MG","","7902.0"
"2053","Stigmastadiene","MG","","15801.0"
"2052","Delta-7-Stigmastenol","MG","","16226.0"
"2049","Daidzin","MG","717","19310.0"
"2050","Genistin","MG","718","19320.0"
"2051","Glycitin","MG","719","19330.0"
"2057","Ergothioneine","MG","","16255.0"
"2058","Beta-glucan","G","","1327.0"
"2059","Vitamin D4","UG","","8730.0"
"2060","Ergosta-7-enol","MG","","16210.0"
"2061"," Ergosta-7,22-dienol","MG","","16211.0"
"2062"," Ergosta-5,7-dienol","MG","","16211.0"
"2063","Verbascose","G","","2450.0"
"2064","Oligosaccharides","MG","","2250.0"
"2065","Low Molecular Weight Dietary Fiber (LMWDF)","G","293.4","1306"
"2068","Vitamin E","MG","959","7810"
"2067","Vitamin A","UG","960","7430"
"2069","Glutathione","MG","961","9000"
