"fdc_id","brand_description","expiration_date","label_weight","location","acquisition_date","sales_type","sample_lot_nbr","sell_by_date","store_city","store_name","store_state","upc_code"
"321508","","2017-07-14","","AZ1","2015-06-02","","7AT 421616 316:25","","TUCSON","BASHAS MARKET","AZ","24000162865"
"321509","","2016-07-24","","IN1","2015-06-01","","7AT 320616 218:42","","NEWBURGH","SCHNUCK MARKET","IN","24000018308"
"321513","","2017-08-20","","NJ1","2015-06-01","","7AT 423316 520:36","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865"
"321514","","2017-09-11","","NJ1","2015-06-01","","7AT 425516 421:49","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865"
"321515","","2017-08-20","","NJ1","2015-06-01","","7AT 423316 520:36","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","24000162865"
"321516","","2017-10-31","","GA1","2015-06-02","","7AT 430550 2606:09","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865"
"321517","","2017-10-31","","GA1","2015-06-02","","7AT 430550 2606:07","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865"
"321518","","2017-10-31","","GA1","2015-06-02","","7AT 430550 2606:08","","LOCUST GROVE","INGLES SUPERMARKET","GA","24000162865"
"321522","","2017-08-31","","NE1","2015-06-06","","7EC 424416 117:30","","HASTINGS","WALMART SUPERCENTER","NE","24000162865"
"321523","","2017-08-31","","NE1","2015-06-06","","7EC 424416 117:31","","HASTINGS","WALMART SUPERCENTER","NE","24000162865"
"321524","","2017-07-03","","NC1","2015-06-02","","7AT 418516 218:27","","ROANOKE RAPIDS","FOOD LION","NC","24000018308"
"321529","","2017-08-15","","PA1","2015-05-31","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865"
"321530","","2017-08-15","","PA1","2015-05-31","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865"
"321531","","2017-08-15","","PA1","2015-05-31","","7AT 422816 302:17","","PITTSBURGH","SHOP N SAVE","PA","24000162865"
"321532","","2017-08-15","","CA1","2015-05-30","","7AT 422816 201:16","","PALMDALE","SAMS CLUB","CA","24000162865"
"321533","","2017-08-15","","CA1","2015-05-30","","7AT 422816 201:17","","PALMDALE","SAMS CLUB","CA","24000162865"
"321534","","2017-08-15","","CA1","2015-05-30","","7AT 422816 501:41","","PALMDALE","SAMS CLUB","CA","24000162865"
"321539","","2016-08-29","","CA2","2015-05-31","","7AT 324207 D14:44","","BONITA","VONS MARKET","CA","24000162865"
"321540","","2016-08-29","","CA2","2015-05-31","","7AT 324207 D14:44","","BONITA","VONS MARKET","CA","24000162865"
"321541","","2016-08-29","","CA2","2015-05-31","","7AT 324207 A14:43","","BONITA","VONS MARKET","CA","24000162865"
"321542","","2017-08-08","","KY1","2015-06-02","","7AT 422116 301:46","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865"
"321543","","2017-09-09","","KY1","2015-06-02","","7EC 425316 303:08","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865"
"321544","","2017-08-08","","KY1","2015-06-02","","7AT 422116 301:46","","HARRODSBURG","WALMART SUPERCENTER","KY","24000162865"
"321548","","2017-11-01","","IA","2015-05-30","","7AT 430650 3602:39","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865"
"321549","","2017-11-01","","IA","2015-05-30","","7AT 430650 3602:44","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865"
"321550","","2017-07-26","","IA","2015-05-30","","7EC 420816 400:42","","ESTHERVILLE","HY VEE FOOD STORE","IA","24000162865"
"321551","","2018-04-24","","TX1","2015-06-02","","7AT 511550 2210:49","","HOUSTON","KROGER","TX","24000162865"
"321552","","2017-09-19","","TX1","2015-06-02","","7AT 426316 518:37","","HOUSTON","KROGER","TX","24000162865"
"321553","","2017-09-19","","TX1","2015-06-02","","7AT 426316 518:38","","HOUSTON","KROGER","TX","24000162865"
"321558","SAFEWAY KITCHENS CUT GREEN BEANS","2017-12-01","","CA2","2015-05-31","","J4EI051G 15:47 5988 ","","BONITA","VONS MARKET","CA","21130331215"
"321559","SAFEWAY KITCHENS CUT GREEN BEANS","2017-12-01","","CA2","2015-05-31","","J4EI051G 15:47 5988","","BONITA","VONS MARKET","CA","21130331215"
"321560","SAFEWAY KITCHENS CUT GREEN BEANS","2017-12-01","","CA2","2015-05-31","","J4EI051G 15:47 5988 ","","BONITA","VONS MARKET","CA","21130331215"
"321561","MY ESSENTIALS CUT GREEN BEANS","2017-09-22","","NC1","2015-06-02","","14C02 42652 02:08","","ROANOKE RAPIDS","FOOD LION","NC","725439103329"
"321562","MY ESSENTIALS CUT GREEN BEANS","2017-09-22","","NC1","2015-06-02","","14C02 42652 02:08","","ROANOKE RAPIDS","FOOD LION","NC","725439103329"
"321563","LIBBYS CUT GREEN BEANS","2016-12-01","","NC1","2015-06-02","","G3AU161E 14:52 3397 GR BN","","ROANOKE RAPIDS","FOOD LION","NC","37100033188"
"321567","KROGER, CUT GREEN BEANS","2017-08-21","","TX1","2015-06-02","","7AT 423416 512:40","","HOUSTON","KROGER","TX","11110802354"
"321568","KROGER, CUT GREEN BEANS","2017-08-21","","TX1","2015-06-02","","7AT 423416 512:40","","HOUSTON","KROGER","TX","11110802354"
"321569","KROGER, CUT GREEN BEANS","2017-08-21","","TX1","2015-06-02","","7AT 423416 512:40","","HOUSTON","KROGER","TX","11110802354"
"321574","SCHNUCKS CUT GREEN BEANS CLASSIC CUT","2018-04-01","","IN1","2015-06-01","","MT JA72784 11:00 002 008I","","NEWBURGH","SCHNUCK MARKET","IN","41318020021"
"321575","SCHNUCKS CUT GREEN BEANS CLASSIC CUT","2018-04-01","","IN1","2015-06-01","","MT JA72784 11:00 002 008I","","NEWBURGH","SCHNUCK MARKET","IN","41318020021"
"321576","SCHNUCKS CUT GREEN BEANS CLASSIC CUT","2018-04-01","","IN1","2015-06-01","","MT JA72784 11:00 002 008I","","NEWBURGH","SCHNUCK MARKET","IN","41318020021"
"321577","FOOD CLUB CUT GREEN BEANS","2017-12-01","","AZ1","2015-06-02","","64E6091B 1522 3311 ","","TUCSON","BASHAS MARKET","AZ","36800085145"
"321578","FOOD CLUB CUT GREEN BEANS","2017-09-23","","AZ1","2015-06-02","","14CG2 42662 23:02 BB09231","","TUCSON","BASHAS MARKET","AZ","36800085145"
"321579","FOOD CLUB CUT GREEN BEANS","2017-09-23","","AZ1","2015-06-02","","14CG2 42662 23:02 BB09231","","TUCSON","BASHAS MARKET","AZ","36800085145"
"321583","SHOPRITE CUT GREEN BEANS","2017-12-01","","NJ1","2015-06-01","","G4AP271A 11:18 3309 GR BN","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190007912"
"321584","SHOPRITE CUT GREEN BEANS","2017-12-01","","NJ1","2015-06-01","","J4AP042B 22:30 3309 GR BN","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190007912"
"321585","SHOPRITE CUT GREEN BEANS","2017-12-01","","NJ1","2015-06-01","","G4AP271A 11:18 3309 GR BN","","NORTH BRUNSWICK","SAKER SHOPRITE","NJ","41190007912"
"321586","GREEN GIANT CUT GREEN BEANS","2017-08-26","","GA1","2015-06-02","","H4AU062C 04:15 1033 GR BN","","GROVE","INGLES SUPERMARKET","GA","20000111971"
